OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,TYPE_1
1,105,IND,India,1,Andaman and Nicobar,Union Territor
2,105,IND,India,2,Andhra Pradesh,State
3,105,IND,India,3,Arunachal Pradesh,State
4,105,IND,India,4,Assam,State
5,105,IND,India,5,Bihar,State
6,105,IND,India,6,Chandigarh,Union Territor
7,105,IND,India,7,Chhattisgarh,State
8,105,IND,India,8,Dadra and Nagar Haveli,Union Territor
9,105,IND,India,9,Daman and Diu,Union Territor
10,105,IND,India,10,Delhi,Union Territor
11,105,IND,India,11,Goa,State
12,105,IND,India,12,Gujarat,State
13,105,IND,India,13,Haryana,State
14,105,IND,India,14,Himachal Pradesh,Union Territor
15,105,IND,India,15,Jammu and Kashmir,State
16,105,IND,India,16,Jharkhand,State
17,105,IND,India,17,Karnataka,State
18,105,IND,India,18,Kerala,State
19,105,IND,India,19,Lakshadweep,Union Territor
20,105,IND,India,20,Madhya Pradesh,State
21,105,IND,India,21,Maharashtra,State
22,105,IND,India,22,Manipur,State
23,105,IND,India,23,Meghalaya,State
24,105,IND,India,24,Mizoram,State
25,105,IND,India,25,Nagaland,State
26,105,IND,India,26,Orissa,State
27,105,IND,India,27,Puducherry,Union Territor
28,105,IND,India,28,Punjab,State
29,105,IND,India,29,Rajasthan,State
30,105,IND,India,30,Sikkim,State
31,105,IND,India,31,Tamil Nadu,State
32,105,IND,India,32,Telangana,State
33,105,IND,India,33,Tripura,State
34,105,IND,India,34,Uttar Pradesh,State
35,105,IND,India,35,Uttaranchal,State
36,105,IND,India,36,West Bengal,State
